Ex/EFF,Type,Amount,Declaration,Record,Payment
20/12/24,Cash,$1.965548,05/01/24,20/12/24,31/01/25
20/09/24,Cash,$1.745531,05/01/24,20/09/24,31/10/24
21/06/24,Cash,$1.759024,05/01/24,21/06/24,31/07/24
15/03/24,Cash,$1.594937,05/01/24,18/03/24,30/04/24
15/12/23,Cash,$1.906073,19/01/23,18/12/23,31/01/24
16/06/23,Cash,$1.638367,19/01/23,20/06/23,31/07/23
17/03/23,Cash,$1.506204,19/01/23,20/03/23,28/04/23
16/12/22,Cash,$1.7814,24/01/22,19/12/22,31/01/23
16/09/22,Cash,$1.596398,24/01/22,19/09/22,31/10/22
17/06/22,Cash,$1.576871,24/01/22,21/06/22,29/07/22
18/03/22,Cash,$1.366009,24/01/22,21/03/22,29/04/22
17/12/21,Cash,$1.636431,22/01/21,20/12/21,31/01/22
17/09/21,Cash,$1.428117,16/09/21,20/09/21,29/10/21
18/06/21,Cash,$1.375875,22/01/21,21/06/21,30/07/21
19/03/21,Cash,$1.277788,22/01/21,22/03/21,30/04/21
18/12/20,Cash,$1.58,16/01/20,21/12/20,29/01/21
18/09/20,Cash,$1.339224,16/01/20,21/09/20,30/10/20
19/06/20,Cash,$1.366242,16/01/20,22/06/20,31/07/20
20/03/20,Cash,$1.405559,16/01/20,23/03/20,30/04/20
20/12/19,Cash,$1.569992,10/01/19,23/12/19,31/01/20
20/09/19,Cash,$1.383619,10/01/19,23/09/19,31/10/19
21/06/19,Cash,$1.43164,10/01/19,24/06/19,31/07/19
15/03/19,Cash,$1.233119,10/01/19,18/03/19,30/04/19
21/12/18,Cash,$1.435429,06/01/18,24/12/18,31/01/19
21/09/18,Cash,$1.322611,06/01/18,24/09/18,31/10/18
15/06/18,Cash,$1.245568,06/01/18,18/06/18,31/07/18
16/03/18,Cash,$1.09678,06/01/18,19/03/18,30/04/18
15/12/17,Cash,$1.351333,14/12/17,18/12/17,31/01/18
15/09/17,Cash,$1.234574,14/09/17,18/09/17,31/10/17
16/06/17,Cash,$1.183108,15/06/17,20/06/17,31/07/17
17/03/17,Cash,$1.033118,16/03/17,21/03/17,28/04/17
16/12/16,Cash,$1.32893,15/12/16,20/12/16,31/01/17
16/09/16,Cash,$1.082068,15/09/16,20/09/16,31/10/16
17/06/16,Cash,$1.078442,16/06/16,21/06/16,29/07/16
18/03/16,Cash,$1.049604,17/03/16,22/03/16,29/04/16
18/12/15,Cash,$1.21155,17/12/15,22/12/15,29/01/16
18/09/15,Cash,$1.03343,17/09/15,22/09/15,30/10/15
19/06/15,Cash,$1.03007,18/06/15,23/06/15,31/07/15
20/03/15,Cash,$0.93081,19/03/15,24/03/15,30/04/15
19/12/14,Cash,$1.13492,18/12/14,23/12/14,30/01/15
19/09/14,Cash,$0.93919,18/09/14,23/09/14,31/10/14
20/06/14,Cash,$0.93669,19/06/14,24/06/14,31/07/14
21/03/14,Cash,$0.82461,20/03/14,25/03/14,30/04/14
20/12/13,Cash,$0.98025,19/12/13,24/12/13,31/01/14
20/09/13,Cash,$0.83795,19/09/13,24/09/13,31/10/13
21/06/13,Cash,$0.83912,20/06/13,25/06/13,31/07/13
15/03/13,Cash,$0.69372,14/03/13,19/03/13,30/04/13
21/12/12,Cash,$1.02183,20/12/12,26/12/12,31/01/13
15/06/12,Cash,$0.68826,14/06/12,19/06/12,31/07/12
16/03/12,Cash,$0.61389,15/03/12,20/03/12,30/04/12
16/12/11,Cash,$0.77013,15/12/11,20/12/11,31/01/12
16/09/11,Cash,$0.62495,15/09/11,20/09/11,31/10/11
